"CODE","PRODUCT","STOCK","Oct-2020","Nov-2020","Total Sales"
"5-6MCC","5-6 MED. CLAMP COIL 30X2.60","0","0","0","0"
"5-6MVC","5-6 MED. VCH PATI COIL 37X0.65","4","0","0","0"
"SBGI8.52","BARI - GALVENIZE 12MM X 2"" (8.500 KG.)","68","5","0","5"
"SBGI8.52.5","BARI - GALVENIZE 12MM X 2.5"" (8.500 KG.)","70","12","0","12"
"SB10CAS2","SUB. BARI - 10"" CASING  X 2"" (11.500 KG.)","71","4","0","4"
"SB10CAS2.5","SUB. BARI - 10"" CASING  X 2.5"" (11.500 KG.)","131","1","0","1"
"NG8","NUT GOLDEN 8 ANI","49","66","0","66"
"NS8","NUT SILVER 8 ANI","7","2","0","2"
"NG4","CLIP NUT 4 ANI (430)","10","2","0","2"
"N4","4 ANI NUT (300)","5","0","0","0"
"N5","5 ANI NUT (200)","1","0","0","0"
"N6","6 ANI NUT (133)","0","0","0","0"
"N8","8 ANI NUT (49)","81","0","0","0"
"N9","9 ANI NUT (28)","4","4","0","4"
"N10","10 ANI NUT (27)","48","10","0","10"
"N12","12 ANI NUT (14)","30","0","0","0"
"N14","14 ANI NUT (12)","17","0","0","0"
"N1","1 INCH NUT (9)","38","0","0","0"
"N1.25","1.25 INCH NUT (7NUT-2KG)","5","0","0","0"
"N1.5","1.5 INCH NUT (2)","3","0","0","0"
"N2","2 INCH NUT (1NUT-900G)","7.5","0","0","0"
"BG1.75","BOLT GOLDEN 8 ANI X 1.75","79","200","0","200"
"BG2.5","BOLT GOLDEN 8 ANI X 2.5","97","31","0","31"
"BS1.75","BOLT SILVER 8 ANI X 1.75","13","5","0","5"
"BG41.25","CLIP BOLT GOLDEN 4 ANI X 1.25","12","3","0","3"
"BG41","CLIP BOLT GOLDEN 4 ANI X 1","17","20","0","20"
"B1.75","8ANI X 1.75 BOLT (SHORT)","0","171","0","171"
"B2.5","8ANI X 2.5 BOLT (LONG)","0","0","0","0"
"FC1","FULL CUPLING 1""","1022","0","0","0"
"FC1.25","FULL CUPLING 1.25""","900","0","0","0"
"FC1.5","FULL CUPLING 1.5""","0","0","0","0"
"FC2","FULL CUPLING 2""","2350","0","0","0"
"FC2.5","FULL CUPLING 2.5""","0","1000","0","1000"
"FC3","FULL CUPLING 3""","757","0","0","0"
"CC1","CUTTING CUPLING 1""","65","0","0","0"
"CC1.25","CUTTING CUPLING 1.25""","40","0","0","0"
"CC1.5","CUTTING CUPLING 1.5""","0","0","0","0"
"CC2","CUTTING CUPLING 2""","200","0","0","0"
"CC2.5","CUTTING CUPLING 2.5""","1000","0","0","0"
"CC3","CUTTING CUPLING 3""","740","0","0","0"
"RVTM","RIVET MOTA","9","3","0","3"
"RVTN","RIVET NANA","4","2","0","2"
"CC","CLIP COIL 16 X 1 MM","55","0","0","0"
"4CAST","WC CASTING 4 ANI","9","0","0","0"
"6CAST","WC CASTING 6 ANI","10","0","0","0"
"8CAST","WC CASTING 8 ANI","2","0","0","0"
"10CAST","WC CASTING 10 ANI","2","0","0","0"
"12CAST","WC CASTING 12 ANI","3","0","0","0"
"1CAST","WC CASTING 1 INCH","6.5","0","0","0"
"WR","WELDING ROD","8","6","0","6"
"WARA","WARA","5","3","0","3"
"HB","HECKSAW BLAD","18","0","0","0"
"BBJ","BANDSAW BLAD (JINI DATI)","2","0","0","0"
"BARDAN","BARDAN","2000","1072","0","1072"
"PB","PLASTIC BACHKA","1250","50","0","50"
"BBM","BANDSAW BLAD (MOTI DATI)","5","0","0","0"
"SCCP82070","SUB. CLAMP (8 ANI - 20 X 70 MM (2.25"")(COUPLING)","215","0","0","0"
"FC2.25","FULL CUPLING 2.25""","350","0","0","0"
"CC2.25","CUTTING CUPLING 2.25""","0","0","0","0"
"MNS","MID NIPPLE STICKER","1","1","0","1"
"HNS","HY NIPPLE STICKER","1","0","0","0"
"DORI","PLASTIC DORI","16","0","0","0"
"5-6HYCC","5-6 HY. CLAMP COIL 34 X 2.90 MM","14","0","0","0"
"5-6HYVC","5-6 HY. VACCHE NI COIL 43 X 0.60 MM","3","0","0","0"
"WELD1.250.758","S.S. WELDED NIPPLE 1.25"" X 0.75"" X 8""","158","0","0","0"
"SCCP102070","SUB. CLAMP (10 ANI - 20 X 70 MM (2.25"")(COUPLING)","101","0","0","0"
"BCM101","BORE CAP 10"" X 1"" (CI - MEDIUM)","0","0","0","0"
"BCM51","BORE CAP 5"" X 1"" (CI - MEDIUM)","0","0","0","0"
"BCM51.25","BORE CAP 5"" X 1.25"" (CI - MEDIUM)","0","0","0","0"
"BCM51.5","BORE CAP 5"" X 1.5"" (CI - MEDIUM)","0","0","0","0"
"BCM61","BORE CAP 6"" X 1"" (CI - MEDIUM)","0","5","0","5"
"BCM61.25","BORE CAP 6"" X 1.25"" (CI - MEDIUM)","0","0","0","0"
"BCM61.5","BORE CAP 6"" X 1.5"" (CI - MEDIUM)","0","0","0","0"
"BCM71","BORE CAP 7"" X 1"" (CI - MEDIUM)","0","5","0","5"
"BCM71.25","BORE CAP 7"" X 1.25"" (CI - MEDIUM)","0","0","0","0"
"BCM71.5","BORE CAP 7"" X 1.5"" (CI - MEDIUM)","0","0","0","0"
"BCM72","BORE CAP 7"" X 2"" (CI - MEDIUM)","0","0","0","0"
"BCM81","BORE CAP 8"" X 1"" (CI - MEDIUM)","0","59","0","59"
"BCM81.25","BORE CAP 8"" X 1.25"" (CI - MEDIUM)","0","36","0","36"
"BCM82","BORE CAP 8"" X 2"" (CI - MEDIUM)","0","18","0","18"
"BCM81.5","BORE CAP 8"" X 1.5"" (CI - MEDIUM)","0","0","0","0"
"BCM82.5","BORE CAP 8"" X 2.5"" (CI - MEDIUM)","0","0","0","0"
"BCM83","BORE CAP 8"" X 3"" (CI - MEDIUM)","0","0","0","0"
"BCM91","BORE CAP 9"" X 1"" (CI - MEDIUM)","0","0","0","0"
"BCM91.25","BORE CAP 9"" X 1.25"" (CI - MEDIUM)","0","0","0","0"
"BCM91.5","BORE CAP 9"" X 1.5"" (CI - MEDIUM)","0","0","0","0"
"BCM92","BORE CAP 9"" X 2"" (CI - MEDIUM)","0","0","0","0"
"BCM92.5","BORE CAP 9"" X 2.5"" (CI - MEDIUM)","0","0","0","0"
"BCM93","BORE CAP 9"" X 3"" (CI - MEDIUM)","0","0","0","0"
"BCM94","BORE CAP 9"" X 4"" (CI - MEDIUM)","0","0","0","0"
"BCM101.25","BORE CAP 10"" X 1.25"" (CI - MEDIUM)","0","0","0","0"
"BCM101.5","BORE CAP 10"" X 1.5"" (CI - MEDIUM)","0","0","0","0"
"BCM102","BORE CAP 10"" X 2"" (CI - MEDIUM)","0","0","0","0"
"BCM102.5","BORE CAP 10"" X 2.5"" (CI - MEDIUM)","0","0","0","0"
"BCM103","BORE CAP 10"" X 3"" (CI - MEDIUM)","0","0","0","0"
"BCM104","BORE CAP 10"" X 4"" (CI - MEDIUM)","0","0","0","0"
"BCM111","BORE CAP 11"" X 1"" (CI - MEDIUM)","0","0","0","0"
"BCM111.25","BORE CAP 11"" X 1.25"" (CI - MEDIUM)","0","0","0","0"
"BCM111.5","BORE CAP 11"" X 1.5"" (CI - MEDIUM)","0","0","0","0"
"BCM112","BORE CAP 11"" X 2"" (CI - MEDIUM)","0","0","0","0"
"BCM112.5","BORE CAP 11"" X 2.5"" (CI - MEDIUM)","0","0","0","0"
"BCM113","BORE CAP 11"" X 3"" (CI - MEDIUM)","0","0","0","0"
"BCM114","BORE CAP 11"" X 4"" (CI - MEDIUM)","0","0","0","0"
"BCM121","BORE CAP 12"" X 1"" (CI - MEDIUM)","0","0","0","0"
"BCM121.25","BORE CAP 12"" X 1.25"" (CI - MEDIUM)","0","0","0","0"
"BCM121.5","BORE CAP 12"" X 1.5"" (CI - MEDIUM)","0","0","0","0"
"BCM122","BORE CAP 12"" X 2"" (CI - MEDIUM)","0","0","0","0"
"BCM122.5","BORE CAP 12"" X 2.5"" (CI - MEDIUM)","0","0","0","0"
"BCM123","BORE CAP 12"" X 3"" (CI - MEDIUM)","0","0","0","0"
"BCM124","BORE CAP 12"" X 4"" (CI - MEDIUM)","0","0","0","0"
"WELD1.518","S.S. WELDED NIPPLE 1.5"" X 1"" X 8""","37","10","0","10"
"WELD219","S.S. WELDED NIPPLE 2"" X 1"" X 9""","70","0","0","0"
"WELD21.259","S.S. WELDED NIPPLE 2"" X 1.25"" X 9""","75","0","0","0"
"BCHY31","CI BORE CAP 3"" X 1"" (HEAVY)","0","0","0","0"
"BCHY31.25","CI BORE CAP 3"" X 1.25""  (HEAVY)","0","0","0","0"
"BCHY31.5","CI BORE CAP 3"" X 1.5""  (HEAVY)","0","0","0","0"
"BCHY42","CI BORE CAP 4"" X 2""  (HEAVY)","0","0","0","0"
"BCHY42.5","CI BORE CAP 4"" X 2.5""  (HEAVY)","0","0","0","0"
"BCHY52.5","CI BORE CAP 5"" X 2.5"" (HEAVY)","0","0","0","0"
"BCHY63","CI BORE CAP 6"" X 3"" (HEAVY)","0","0","0","0"
"BCHY111","CI BORE CAP 11"" X 1"" (HEAVY)","0","0","0","0"
"BCHY111.25","CI BORE CAP 11"" X 1.25"" (HEAVY)","0","0","0","0"
"BCHY111.5","CI BORE CAP 11"" X 1.5"" (HEAVY)","0","0","0","0"
"BCHY112","CI BORE CAP 11"" X 2"" (HEAVY)","0","0","0","0"
"BCHY112.5","CI BORE CAP 11"" X 2.5"" (HEAVY)","0","0","0","0"
"BCHY113","CI BORE CAP 11"" X 3"" (HEAVY)","0","0","0","0"
"BCHY114","CI BORE CAP 11"" X 4"" (HEAVY)","0","0","0","0"
"BCHY143","CI BORE CAP 14"" X 3"" (HEAVY)","0","0","0","0"
"BCHY144","CI BORE CAP 14"" X 4"" (HEAVY)","0","0","0","0"
"RBET1.251","S.S. EAR TYPE BUSH 1.25""X1""","0","0","0","0"
"RBET1.51","S.S. EAR TYPE  BUSH 1.5""X1""","0","0","0","0"
"RBET1.51.25","S.S. EAR TYPE BUSH 1.5""X1.25""","0","0","0","0"
"RBET21.5","S.S. EAR TYPE BUSH 2""X1.5""","0","0","0","0"
"RBET2.52L","S.S. EAR TYPE BUSH 2.5""X2"" LONG","0","0","0","0"
"RBET32.5","S.S. EAR TYPE BUSH 3""X2.5""","0","0","0","0"
"ELJ2","B.P. HOLE ELBOW 2""","272","10","0","10"
"ELJ2.5","B.P. HOLE ELBOW 2.5""","320","28","0","28"
"ELJ3","B.P. HOLE ELBOW 3""","55","8","0","8"
"OWJ2","B.P. OPENWELL JALI 2""","623","30","0","30"
"OWJ2.5","B.P. OPENWELL JALI 2.5""","536","50","0","50"
"OWJ3","B.P. OPENWELL JALI 3""","391","14","0","14"
"CP288","S.S. COUPLING 2"" (8 X 8) 4"" LONG","0","0","0","0"
"CP2811","S.S. COUPLING 2"" (8 X 11) 4"" LONG","0","0","0","0"
"CP21111","S.S. COUPLING 2"" (11 X 11) 4"" LONG","0","0","0","0"
"CP2.51111","S.S. COUPLING 2.5"" (11 X 11) 4"" LONG","0","0","0","0"
"RJSSM1.251","REDUCE JOTA (S.S. - RUNNING) 1.25"" X 1""","0","0","0","0"
"RJSSM1.51","REDUCE JOTA (S.S. - RUNNING) 1.5"" X 1""","0","0","0","0"
"RJSSM1.51.25","REDUCE JOTA (S.S. - RUNNING) 1.5"" X 1.25""","0","0","0","0"
"RJSSM21.5","REDUCE JOTA (S.S. - RUNNING) 2"" X 1.5""","0","0","0","0"
"RJSSM2.52","REDUCE JOTA (S.S. - RUNNING) 2.5"" X 2""","43","0","0","0"
"RJSSM32","REDUCE JOTA (S.S. - RUNNING) 3"" X 2""","0","0","0","0"
"RJSSM32.5","REDUCE JOTA (S.S. - RUNNING) 3"" X 2.5""","0","0","0","0"
"RJSSHY2.52","REDUCE JOTA (S.S. - HEAVY) 2.5"" X 2""","0","10","0","10"
"RJSSHY32","REDUCE JOTA (S.S. - HEAVY) 3"" X 2""","0","0","0","0"
"JSSM4","JOTA (S.S. - RUNNING) 4""","0","0","0","0"
"RJSSHY32.5","REDUCE JOTA (S.S. - HEAVY) 3"" X 2.5""","0","0","0","0"
"BCM41","BORE CAP 4"" X 1"" (CI - MEDIUM)","0","0","0","0"
"BCM41.25","BORE CAP 4"" X 1.25"" (CI - MEDIUM)","0","0","0","0"
"BCM41.5","BORE CAP 4"" X 1.5"" (CI - MEDIUM)","0","0","0","0"
"GISNM18","GALVE. STEP NIPPLE 1"" X 8"" (MEDIUM)","220","100","10","110"
"GISNM1.258","GALVE. STEP NIPPLE 1.25"" X 8"" (MEDIUM)","228","100","0","100"
"GISNM1.58","GALVE. STEP NIPPLE 1.5"" X 8"" (MEDIUM)","229","100","0","100"
"GISNM29","GALVE. STEP NIPPLE 2"" X 9"" (MEDIUM)","237","50","0","50"
"GISNM2.59","GALVE. STEP NIPPLE 2.5"" X 9"" (MEDIUM)","110","10","200","210"
"GISNM39","GALVE. STEP NIPPLE 3"" X 9"" (MEDIUM)","0","0","0","0"
"GISNM49","GALVE. STEP NIPPLE 4"" X 9"" (MEDIUM)","0","0","0","0"
"GISNHY18","GALVE. (HEAVY) STEP NIPPLE 1"" X 8""","0","0","0","0"
"GISNHY1.258","GALVE. (HEAVY) STEP NIPPLE 1.25"" X 8""","0","0","0","0"
"GISNHY1.58","GALVE. (HEAVY) STEP NIPPLE 1.5"" X 8""","0","0","0","0"
"GISNHY29","GALVE. (HEAVY) STEP NIPPLE 2"" X 9""","0","0","0","0"
"GISNHY2.59","GALVE. (HEAVY) STEP NIPPLE 2.5"" X 9""","0","0","0","0"
"GIRNM10.758","GALVE. REDU. NIPPLE 1"" X 0.75"" X 8"" (MEDIUM)","1289","360","0","360"
"GIRNM1.2518","GALVE. REDU. NIPPLE 1.25"" X 1"" X 8"" (MEDIUM)","496","460","0","460"
"GIRNM1.51.258","GALVE. REDU. NIPPLE 1.5"" X 1.25"" X 8"" (MEDIUM)","736","220","0","220"
"GIRNM21.759","GALVE. REDU. NIPPLE 2"" X 1.75"" X 9"" (MEDIUM)","438","282","10","292"
"GIRNM2.52.259","GALVE. REDU. NIPPLE 2.5"" X 2.25"" X 9"" (MEDIUM)","98","191","0","191"
"GIRNM32.759","GALVE. REDU. NIPPLE 3"" X 2.75"" X 9"" (MEDIUM)","0","0","0","0"
"GIRNM43.759","GALVE. REDU. NIPPLE 4"" X 3.75"" X 9"" (MEDIUM)","0","0","0","0"
"GIRNHY10.758","GALVE. REDU. (HEAVY) NIPPLE 1"" X 0.75"" X 8","0","0","0","0"
"GIRNHY1.2518","GALVE. REDU. (HEAVY) NIPPLE 1.25"" X 1"" X 8""","0","0","0","0"
"GIRNHY1.51.258","GALVE. REDU. (HEAVY) NIPPLE 1.5"" X 1.25"" X 8""","0","0","0","0"
"GIRNHY21.759","GALVE. REDU. (HEAVY) NIPPLE 2"" X 1.75"" X 9""","0","0","0","0"
"GIRNHY2.52.259","GALVE. REDU. (HEAVY) NIPPLE 2.5"" X 2.25"" X 9""","0","0","0","0"
"GISCM18","GALVE. STEP CONNECTOR 1"" X 8"" (MED.)","0","0","0","0"
"GISCM1.58","GALVE. STEP CONNECTOR 1.5"" X 8"" (MED.)","0","0","0","0"
"GISCM1.258","GALVE. STEP CONNECTOR 1.25"" X 8"" (MED.)","0","0","0","0"
"GISCM29","GALVE. STEP CONNECTOR 2"" X 9"" (MED.)","0","0","0","0"
"GISCM2.59","GALVE. STEP CONNECTOR 2.5"" X 9"" (MED.)","0","0","0","0"
"GISCM39","GALVE. STEP CONNECTOR 3"" X 9"" (MED.)","0","0","0","0"
"GIMURLI1","GALVE. MURLI CONNECTOR 0.75"" X 1"" X 0.75""","0","0","0","0"
"GIMURLI1.25","GALVE. MURLI CONNECTOR 1"" X 1.25"" X 1""","0","0","0","0"
"GIMURLI1.5","GALVE. MURLI CONNECTOR 1.25"" X 1.5"" X 1.25""","0","0","0","0"
"GIMURLI2","GALVE. MURLI CONNECTOR 1.75"" X 2"" X 1.75""","0","0","0","0"
"GIMURLI2.5","GALVE. MURLI CONNECTOR 2.25"" X 2.5"" X 2.25""","0","0","0","0"
"DEMO007","DEMOPRODUCTDEMOPRODUCTDEMOPRODUCTDEMOPRODUCTDEMOPRODUCTDEMOPRODUCTDEMOPRODUCTDEMOPRODUCTDEMOPRODUCTDEMOPRODUCT","-200","0","200","200"
"DEMO1234_PRO1","DEMO1234_PRO1","0","0","0","0"
"TEST_002","TEST002_1","-100","100","100","200"
